Характеристики,Unnamed: 1
Общая площадь дома:,166 м2
Жилая площадь дома:,139 м2
Площадь террасы:,27 м2
Кол-во этажей:,2 этаж
Кол-во спален:,4 спальни
Кол-во санузлов:,3 санузла
Размер дома ,7.5х13
