Характеристики,Unnamed: 1
Общая площадь дома:,160 м2
Жилая площадь дома:,128 м2
Площадь террасы:,32 м2
Кол-во этажей:,2 этаж
Кол-во спален:,4 спальни
Кол-во санузлов:,2 санузла
Размер дома ,8х10
