Характеристики,Unnamed: 1
Общая площадь дома:,102 м2
Жилая площадь дома:,96 м2
Площадь террасы:,6 м2
Кол-во этажей:,2 этаж
Кол-во спален:,4 спальни
Кол-во санузлов:,2 санузла
Размер дома ,6х9
