Характеристики,Unnamed: 1
Общая площадь дома:,191 м2
Жилая площадь дома:,176 м2
Площадь террасы:,15 м2
Кол-во этажей:,2 этаж
Кол-во спален:,4 спальни
Кол-во санузлов:,3 санузла
Размер дома ,"11х12,5"
