Характеристики,Unnamed: 1
Общая площадь дома:,124 м2
Жилая площадь дома:,108 м2
Площадь террасы:,16 м2
Кол-во этажей:,2 этаж
Кол-во спален:,4 спальни
Кол-во санузлов:,2 санузла
