железобетонные сваи 25 шт. + пробное бурение.,215000
Замена базового кровельного материала на мягкую кровлю Шинглас (Технониколь),286480
Замена базового кровельного покрытия на Кликфальц,441450
"Водосточная система деке, цвет на выбор.",103500
Зашивка цоколя в 1 ряд панелями деке,118800
Антисептирование всего силового каркаса на производстве,127800
Покраска наружной отделки стен и свесов кровли на производстве,296810
Покраска внутренних стен и потолков во всем доме на производстве,372860
Утепление (Шумоизоляция) перегородок 100мм.,70000
Ламинат на полы,301000
"Замена всех межкомнатных дверей на МДФ двери Тёмного или Светлого цвета, на выбор.",252000
30 точек электропроводки + щиток,279000
"Черновая разводка ГВС, ХВС и канализации по дому",157500
Отопление электрическими обогревателями (комплект с установкой на весь дом),119600
Отопление дома электрическим теплым полом,220500
Автономная канализация. Станция биологической очистки (Септик).,250000
Фильтрационная система (стоимость может измениться после анализа воды),300000
"Аренда блок-контейнера для проживания бригады, на весь срок строительства",60000
Вывоз мусора после строительства (1 Пухто или 2 газели),80000
Регистрация дома (технический план здания с подачей документов в Росреестр).,40000
Заезд на участок шириной до 6м (для не глубоких канав),220000
"Чистовые сантехнические приборы: бойлер, унитаз(ы), раковина(ы), душевая кабина(ы)",210000
Незамерзающий кран для полива (добавляется к черновой разводке труб),30000
Заземление (комплект с установкой),60000
Подключение света от общего столба к дому в земле до 20 м.п.,120000
