Характеристики,Unnamed: 1
Общая площадь дома:,108 м2
Жилая площадь дома:,"86,5 м2"
Площадь террасы:,"21,5 м2"
Кол-во этажей:,1 этаж
Кол-во спален:,3 спальни
Кол-во санузлов:,2 санузла
Размер дома ,12х10
