железобетонные сваи 56 шт. + пробное бурение.,457000
Замена базового кровельного материала на мягкую кровлю Шинглас (Технониколь),380700
Замена базового кровельного покрытия на Кликфальц,888300
"Водосточная система деке, цвет на выбо",166500
Зашивка цоколя в 1 ряд панелями деке,178200
Антисептирование всего силового каркаса на возведенном доме,196200
Покраска наружной отделки стен и свесов кровли на возведенном доме,591000
Покраска внутренних стен и потолков во всем доме на возведенном доме,694000
"Замена на потолке имитации бруса, на натяжной потолок",140000
Ламинат на полы,602000
"Замена всех межкомнатных дверей на МДФ двери Тёмного или Светлого цвета, на выбо",342000
40 точек электропроводки + щиток,351000
"Черновая разводка ГВС, ХВС и канализации по дому",220000
Отопление электрическими обогревателями (комплект с установкой на весь дом),252000
Отопление дома электрическим теплым полом,441000
Автономная канализация. Станция биологической очистки (Септик).,250000
Фильтрационная система (стоимость может измениться после анализа воды),300000
"Аренда блок-контейнера для проживания бригады, на весь срок строительства",60000
Вывоз мусора после строительства (1 Пухто или 2 газели),80000
Регистрация дома (технический план здания с подачей документов в Росреестр).,40000
Заезд на участок шириной до 6м (для не глубоких канав),220000
"Чистовые сантехнические приборы: бойлер, унитаз(ы), раковина(ы), душевая кабина(ы)",420000
Незамерзающий кран для полива (добавляется к черновой разводке труб),30000
Заземление (комплект с установкой),60000
Подключение света от общего столба к дому в земле до 20 м.п.,120000
